2017-09-07 13:26:30   mouse movement trajectory: ( 66, 550 )
2017-09-07 13:26:55   mouse movement trajectory: ( 738, 2603 )
2017-09-07 13:26:55   mouse movement trajectory: ( 236, 330 )
2017-09-07 13:26:55   mouse movement trajectory: ( 394, 2662 )
2017-09-07 13:26:55   mouse movement trajectory: ( 238, 328 )
2017-09-07 13:26:55   mouse movement trajectory: ( 364, 2674 )
2017-09-07 13:26:55   mouse movement trajectory: ( 242, 326 )
2017-09-07 13:26:55   mouse movement trajectory: ( 362, 2674 )
2017-09-07 13:26:55   mouse movement trajectory: ( 120, 308 )
2017-09-07 13:26:55   mouse movement trajectory: ( 362, 2676 )
2017-09-07 13:26:55   mouse movement trajectory: ( 360, 2677 )
2017-09-07 13:26:55   mouse movement trajectory: ( 358, 2683 )
2017-09-07 13:26:55   mouse movement trajectory: ( 346, 2718 )
2017-09-07 13:26:55   mouse movement trajectory: ( 346, 2722 )
2017-09-07 13:26:55   mouse movement trajectory: ( 344, 2724 )
2017-09-07 13:26:55   mouse movement trajectory: ( 344, 2725 )
2017-09-07 13:26:56   mouse movement trajectory: ( 344, 2726 )
2017-09-07 13:26:56   mouse movement trajectory: ( 342, 2726 )
2017-09-07 13:26:56   mouse movement trajectory: ( 248, 322 )
2017-09-07 13:26:56   mouse movement trajectory: ( 336, 2727 )
2017-09-07 13:26:56   mouse movement trajectory: ( 320, 2728 )
2017-09-07 13:26:56   mouse movement trajectory: ( 302, 2728 )
2017-09-07 13:26:56   mouse movement trajectory: ( 292, 2728 )
2017-09-07 13:26:56   mouse movement trajectory: ( 274, 2729 )
2017-09-07 13:26:56   mouse movement trajectory: ( 144, 336 )
2017-09-07 13:26:56   mouse movement trajectory: ( 256, 2731 )
2017-09-07 13:26:56   mouse movement trajectory: ( 250, 320 )
2017-09-07 13:26:56   mouse movement trajectory: ( 248, 2732 )
2017-09-07 13:26:56   mouse movement trajectory: ( 256, 316 )
2017-09-07 13:26:56   mouse movement trajectory: ( 232, 2736 )
2017-09-07 13:26:56   mouse movement trajectory: ( 226, 2738 )
2017-09-07 13:26:56   mouse movement trajectory: ( 258, 314 )
2017-09-07 13:26:56   mouse movement trajectory: ( 260, 312 )
2017-09-07 13:26:57   mouse movement trajectory: ( 216, 2742 )
2017-09-07 13:26:57   mouse movement trajectory: ( 210, 2744 )
2017-09-07 13:26:57   mouse movement trajectory: ( 210, 2745 )
2017-09-07 13:26:57   mouse movement trajectory: ( 210, 2745 )
2017-09-07 13:26:57   mouse movement trajectory: ( 210, 2745 )
2017-09-07 13:26:57   mouse movement trajectory: ( 208, 2746 )
2017-09-07 13:26:57   mouse movement trajectory: ( 206, 2747 )
2017-09-07 13:26:57   mouse movement trajectory: ( 204, 2748 )
2017-09-07 13:26:57   mouse movement trajectory: ( 202, 2748 )
2017-09-07 13:26:57   mouse movement trajectory: ( 120, 306 )
2017-09-07 13:26:57   mouse movement trajectory: ( 196, 2749 )
2017-09-07 13:26:57   mouse movement trajectory: ( 194, 2750 )
2017-09-07 13:26:57   mouse movement trajectory: ( 186, 2751 )
2017-09-07 13:26:57   mouse movement trajectory: ( 184, 2752 )
2017-09-07 13:26:57   mouse movement trajectory: ( 262, 310 )
2017-09-07 13:26:57   mouse movement trajectory: ( 180, 2753 )
2017-09-07 13:26:57   mouse movement trajectory: ( 264, 310 )
2017-09-07 13:26:57   mouse movement trajectory: ( 180, 2754 )
2017-09-07 13:26:58   mouse movement trajectory: ( 266, 308 )
2017-09-07 13:26:58   mouse movement trajectory: ( 178, 2754 )
2017-09-07 13:26:58   mouse movement trajectory: ( 176, 2755 )
2017-09-07 13:26:58   mouse movement trajectory: ( 174, 2755 )
2017-09-07 13:26:58   mouse movement trajectory: ( 174, 2756 )
2017-09-07 13:26:58   mouse movement trajectory: ( 174, 2757 )
2017-09-07 13:26:58   mouse movement trajectory: ( 170, 2760 )
2017-09-07 13:26:58   mouse movement trajectory: ( 168, 2762 )
2017-09-07 13:26:58   mouse movement trajectory: ( 166, 2763 )
2017-09-07 13:26:58   mouse movement trajectory: ( 164, 2764 )
2017-09-07 13:26:58   mouse movement trajectory: ( 162, 2764 )
2017-09-07 13:26:58   mouse movement trajectory: ( 158, 2764 )
2017-09-07 13:26:58   mouse movement trajectory: ( 156, 2764 )
2017-09-07 13:26:58   mouse movement trajectory: ( 154, 2764 )
2017-09-07 13:26:58   mouse movement trajectory: ( 150, 2765 )
2017-09-07 13:26:58   mouse movement trajectory: ( 148, 2765 )
2017-09-07 13:26:58   mouse movement trajectory: ( 272, 302 )
2017-09-07 13:26:58   mouse movement trajectory: ( 148, 2766 )
2017-09-07 13:26:59   mouse movement trajectory: ( 274, 302 )
2017-09-07 13:26:59   mouse movement trajectory: ( 146, 338 )
2017-09-07 13:26:59   mouse movement trajectory: ( 146, 340 )
2017-09-07 13:26:59   mouse movement trajectory: ( 274, 300 )
2017-09-07 13:26:59   mouse movement trajectory: ( 276, 298 )
2017-09-07 13:26:59   mouse movement trajectory: ( 278, 298 )
2017-09-07 13:26:59   mouse movement trajectory: ( 280, 296 )
2017-09-07 13:26:59   mouse movement trajectory: ( 148, 344 )
2017-09-07 13:26:59   mouse movement trajectory: ( 282, 296 )
2017-09-07 13:26:59   mouse movement trajectory: ( 122, 306 )
2017-09-07 13:26:59   mouse movement trajectory: ( 150, 348 )
2017-09-07 13:26:59   mouse movement trajectory: ( 284, 294 )
2017-09-07 13:26:59   mouse movement trajectory: ( 286, 294 )
2017-09-07 13:26:59   mouse movement trajectory: ( 124, 304 )
2017-09-07 13:26:59   mouse movement trajectory: ( 288, 294 )
2017-09-07 13:26:59   mouse movement trajectory: ( 292, 292 )
2017-09-07 13:26:59   mouse movement trajectory: ( 296, 290 )
2017-09-07 13:27:00   mouse movement trajectory: ( 302, 286 )
2017-09-07 13:27:00   mouse movement trajectory: ( 146, 514 )
2017-09-07 13:27:00   mouse movement trajectory: ( 94, 416 )
2017-09-07 13:27:00   mouse movement trajectory: ( 92, 380 )
2017-09-07 13:27:00   mouse movement trajectory: ( 136, 302 )
2017-09-07 13:27:00   mouse movement trajectory: ( 304, 286 )
2017-09-07 13:27:00   mouse movement trajectory: ( 152, 358 )
2017-09-07 13:27:00   mouse movement trajectory: ( 308, 282 )
2017-09-07 13:27:00   mouse movement trajectory: ( 306, 214 )
2017-09-07 13:27:00   mouse movement trajectory: ( 128, 304 )
2017-09-07 13:27:00   mouse movement trajectory: ( 370, 212 )
2017-09-07 13:27:00   mouse movement trajectory: ( 310, 280 )
2017-09-07 13:27:00   mouse movement trajectory: ( 414, 242 )
2017-09-07 13:27:00   mouse movement trajectory: ( 424, 256 )
2017-09-07 13:27:00   mouse movement trajectory: ( 430, 262 )
2017-09-07 13:27:00   mouse movement trajectory: ( 436, 278 )
2017-09-07 13:27:00   mouse movement trajectory: ( 442, 290 )
2017-09-07 13:27:00   mouse movement trajectory: ( 442, 292 )
2017-09-07 13:27:00   mouse movement trajectory: ( 442, 294 )
2017-09-07 13:27:01   mouse movement trajectory: ( 134, 300 )
2017-09-07 13:27:01   mouse movement trajectory: ( 136, 300 )
2017-09-07 13:27:01   mouse movement trajectory: ( 138, 300 )
2017-09-07 13:27:01   mouse movement trajectory: ( 140, 300 )
2017-09-07 13:27:01   mouse movement trajectory: ( 140, 298 )
2017-09-07 13:27:01   mouse movement trajectory: ( 152, 364 )
2017-09-07 13:27:01   mouse movement trajectory: ( 142, 298 )
2017-09-07 13:27:01   mouse movement trajectory: ( 442, 310 )
2017-09-07 13:27:01   mouse movement trajectory: ( 152, 370 )
2017-09-07 13:27:01   mouse movement trajectory: ( 446, 334 )
2017-09-07 13:27:01   mouse movement trajectory: ( 144, 298 )
2017-09-07 13:27:01   mouse movement trajectory: ( 150, 372 )
2017-09-07 13:27:01   mouse movement trajectory: ( 144, 296 )
2017-09-07 13:27:01   mouse movement trajectory: ( 150, 378 )
2017-09-07 13:27:01   mouse movement trajectory: ( 148, 382 )
2017-09-07 13:27:01   mouse movement trajectory: ( 144, 290 )
2017-09-07 13:27:01   mouse movement trajectory: ( 142, 288 )
2017-09-07 13:27:02   mouse movement trajectory: ( 140, 286 )
2017-09-07 13:27:02   mouse movement trajectory: ( 138, 284 )
2017-09-07 13:27:02   mouse movement trajectory: ( 134, 284 )
2017-09-07 13:27:02   mouse movement trajectory: ( 130, 284 )
2017-09-07 13:27:02   mouse movement trajectory: ( 146, 382 )
2017-09-07 13:27:02   mouse movement trajectory: ( 128, 284 )
2017-09-07 13:27:02   mouse movement trajectory: ( 142, 384 )
2017-09-07 13:27:02   mouse movement trajectory: ( 140, 384 )
2017-09-07 13:27:02   mouse movement trajectory: ( 138, 382 )
2017-09-07 13:27:02   mouse movement trajectory: ( 136, 380 )
2017-09-07 13:27:02   mouse movement trajectory: ( 450, 334 )
2017-09-07 13:27:02   mouse movement trajectory: ( 132, 284 )
2017-09-07 13:27:02   mouse movement trajectory: ( 460, 334 )
2017-09-07 13:27:02   mouse movement trajectory: ( 134, 372 )
2017-09-07 13:27:02   mouse movement trajectory: ( 464, 334 )
2017-09-07 13:27:02   mouse movement trajectory: ( 146, 284 )
2017-09-07 13:27:03   mouse movement trajectory: ( 466, 334 )
2017-09-07 13:27:03   mouse movement trajectory: ( 468, 334 )
2017-09-07 13:27:03   mouse movement trajectory: ( 472, 334 )
2017-09-07 13:27:03   mouse movement trajectory: ( 158, 284 )
2017-09-07 13:27:03   mouse movement trajectory: ( 162, 284 )
2017-09-07 13:27:03   mouse movement trajectory: ( 164, 282 )
2017-09-07 13:27:03   mouse movement trajectory: ( 130, 366 )
2017-09-07 13:27:03   mouse movement trajectory: ( 162, 282 )
2017-09-07 13:27:03   mouse movement trajectory: ( 126, 348 )
2017-09-07 13:27:03   mouse movement trajectory: ( 148, 282 )
2017-09-07 13:27:03   mouse movement trajectory: ( 122, 286 )
2017-09-07 13:27:03   mouse movement trajectory: ( 116, 286 )
2017-09-07 13:27:03   mouse movement trajectory: ( 300, 264 )
2017-09-07 13:27:03   mouse movement trajectory: ( 290, 252 )
2017-09-07 13:27:03   mouse movement trajectory: ( 274, 234 )
2017-09-07 13:27:03   mouse movement trajectory: ( 240, 200 )
2017-09-07 13:27:03   mouse movement trajectory: ( 220, 184 )
2017-09-07 13:27:04   mouse movement trajectory: ( 126, 330 )
2017-09-07 13:27:04   mouse movement trajectory: ( 190, 152 )
2017-09-07 13:27:04   mouse movement trajectory: ( 158, 122 )
2017-09-07 13:27:04   mouse movement trajectory: ( 150, 112 )
2017-09-07 13:27:04   mouse movement trajectory: ( 136, 96 )
2017-09-07 13:27:04   mouse movement trajectory: ( 130, 90 )
2017-09-07 13:27:04   mouse movement trajectory: ( 126, 84 )
2017-09-07 13:27:04   mouse movement trajectory: ( 122, 78 )
2017-09-07 13:27:04   mouse movement trajectory: ( 114, 286 )
2017-09-07 13:27:04   mouse movement trajectory: ( 112, 60 )
2017-09-07 13:27:04   mouse movement trajectory: ( 110, 54 )
2017-09-07 13:27:04   mouse movement trajectory: ( 126, 328 )
2017-09-07 13:27:04   mouse movement trajectory: ( 108, 52 )
2017-09-07 13:27:04   mouse movement trajectory: ( 126, 326 )
2017-09-07 13:27:04   mouse movement trajectory: ( 106, 48 )
2017-09-07 13:27:04   mouse movement trajectory: ( 126, 324 )
2017-09-07 13:27:04   mouse movement trajectory: ( 132, 282 )
2017-09-07 13:27:04   mouse movement trajectory: ( 472, 332 )
2017-09-07 13:27:05   mouse movement trajectory: ( 470, 330 )
2017-09-07 13:27:05   mouse movement trajectory: ( 104, 44 )
2017-09-07 13:27:05   mouse movement trajectory: ( 468, 328 )
2017-09-07 13:27:05   mouse movement trajectory: ( 468, 326 )
2017-09-07 13:27:05   mouse movement trajectory: ( 142, 282 )
2017-09-07 13:27:05   mouse movement trajectory: ( 154, 312 )
2017-09-07 13:27:05   mouse movement trajectory: ( 468, 324 )
2017-09-07 13:27:05   mouse movement trajectory: ( 128, 324 )
2017-09-07 13:27:05   mouse movement trajectory: ( 154, 338 )
2017-09-07 13:27:05   mouse movement trajectory: ( 154, 368 )
2017-09-07 13:27:05   mouse movement trajectory: ( 152, 414 )
2017-09-07 13:27:05   mouse movement trajectory: ( 102, 352 )
2017-09-07 13:27:05   mouse movement trajectory: ( 144, 448 )
2017-09-07 13:27:05   mouse movement trajectory: ( 108, 346 )
2017-09-07 13:27:05   mouse movement trajectory: ( 138, 466 )
2017-09-07 13:27:05   mouse movement trajectory: ( 138, 470 )
2017-09-07 13:27:05   mouse movement trajectory: ( 136, 470 )
2017-09-07 13:27:06   mouse movement trajectory: ( 134, 472 )
2017-09-07 13:27:06   mouse movement trajectory: ( 130, 472 )
2017-09-07 13:27:06   mouse movement trajectory: ( 118, 338 )
2017-09-07 13:27:06   mouse movement trajectory: ( 118, 338 )
2017-09-07 13:27:06   mouse movement trajectory: ( 118, 338 )
2017-09-07 13:27:06   mouse movement trajectory: ( 118, 338 )
2017-09-07 13:27:06   mouse movement trajectory: ( 128, 326 )
2017-09-07 13:27:06   mouse movement trajectory: ( 126, 334 )
2017-09-07 13:27:06   mouse movement trajectory: ( 126, 334 )
2017-09-07 13:27:06   mouse movement trajectory: ( 126, 334 )
2017-09-07 13:27:06   mouse movement trajectory: ( 126, 334 )
2017-09-07 13:27:06   mouse movement trajectory: ( 132, 332 )
2017-09-07 13:27:06   mouse movement trajectory: ( 132, 332 )
2017-09-07 13:27:06   mouse movement trajectory: ( 132, 332 )
2017-09-07 13:27:06   mouse movement trajectory: ( 132, 332 )
2017-09-07 13:27:06   mouse movement trajectory: ( 128, 472 )
2017-09-07 13:27:06   mouse movement trajectory: ( 136, 332 )
2017-09-07 13:27:06   mouse movement trajectory: ( 136, 332 )
2017-09-07 13:27:06   mouse movement trajectory: ( 136, 332 )
2017-09-07 13:27:07   mouse movement trajectory: ( 136, 332 )
2017-09-07 13:27:07   mouse movement trajectory: ( 138, 332 )
2017-09-07 13:27:07   mouse movement trajectory: ( 138, 332 )
2017-09-07 13:27:07   mouse movement trajectory: ( 138, 332 )
2017-09-07 13:27:07   mouse movement trajectory: ( 126, 470 )
2017-09-07 13:27:07   mouse movement trajectory: ( 138, 332 )
2017-09-07 13:27:07   mouse movement trajectory: ( 140, 332 )
2017-09-07 13:27:07   mouse movement trajectory: ( 140, 332 )
2017-09-07 13:27:07   mouse movement trajectory: ( 140, 332 )
2017-09-07 13:27:07   mouse movement trajectory: ( 140, 332 )
2017-09-07 13:27:07   mouse movement trajectory: ( 142, 334 )
2017-09-07 13:27:07   mouse movement trajectory: ( 124, 466 )
2017-09-07 13:27:07   mouse movement trajectory: ( 142, 334 )
2017-09-07 13:27:07   mouse movement trajectory: ( 142, 334 )
2017-09-07 13:27:07   mouse movement trajectory: ( 142, 334 )
2017-09-07 13:27:07   mouse movement trajectory: ( 144, 334 )
2017-09-07 13:27:07   mouse movement trajectory: ( 144, 334 )
2017-09-07 13:27:07   mouse movement trajectory: ( 144, 334 )
2017-09-07 13:27:07   mouse movement trajectory: ( 144, 334 )
2017-09-07 13:27:08   mouse movement trajectory: ( 122, 444 )
2017-09-07 13:27:08   mouse movement trajectory: ( 144, 336 )
2017-09-07 13:27:08   mouse movement trajectory: ( 144, 336 )
2017-09-07 13:27:08   mouse movement trajectory: ( 144, 336 )
2017-09-07 13:27:08   mouse movement trajectory: ( 144, 336 )
2017-09-07 13:27:08   mouse movement trajectory: ( 146, 338 )
2017-09-07 13:27:08   mouse movement trajectory: ( 146, 338 )
2017-09-07 13:27:08   mouse movement trajectory: ( 146, 338 )
2017-09-07 13:27:08   mouse movement trajectory: ( 146, 338 )
2017-09-07 13:27:08   mouse movement trajectory: ( 146, 340 )
2017-09-07 13:27:08   mouse movement trajectory: ( 146, 340 )
2017-09-07 13:27:08   mouse movement trajectory: ( 146, 340 )
2017-09-07 13:27:08   mouse movement trajectory: ( 146, 340 )
2017-09-07 13:27:08   mouse movement trajectory: ( 148, 344 )
2017-09-07 13:27:08   mouse movement trajectory: ( 148, 344 )
2017-09-07 13:27:08   mouse movement trajectory: ( 148, 344 )
2017-09-07 13:27:08   mouse movement trajectory: ( 148, 344 )
2017-09-07 13:27:08   mouse movement trajectory: ( 150, 348 )
2017-09-07 13:27:09   mouse movement trajectory: ( 150, 348 )
2017-09-07 13:27:09   mouse movement trajectory: ( 150, 348 )
2017-09-07 13:27:09   mouse movement trajectory: ( 150, 348 )
2017-09-07 13:27:09   mouse movement trajectory: ( 152, 358 )
2017-09-07 13:27:09   mouse movement trajectory: ( 152, 358 )
2017-09-07 13:27:09   mouse movement trajectory: ( 152, 358 )
2017-09-07 13:27:09   mouse movement trajectory: ( 152, 358 )
2017-09-07 13:27:09   mouse movement trajectory: ( 152, 364 )
2017-09-07 13:27:09   mouse movement trajectory: ( 152, 364 )
2017-09-07 13:27:09   mouse movement trajectory: ( 152, 364 )
2017-09-07 13:27:09   mouse movement trajectory: ( 152, 364 )
2017-09-07 13:27:09   mouse movement trajectory: ( 474, 330 )
2017-09-07 13:27:09   mouse movement trajectory: ( 152, 370 )
2017-09-07 13:27:09   mouse movement trajectory: ( 152, 370 )
2017-09-07 13:27:09   mouse movement trajectory: ( 150, 372 )
2017-09-07 13:27:09   mouse movement trajectory: ( 150, 372 )
2017-09-07 13:27:09   mouse movement trajectory: ( 150, 378 )
2017-09-07 13:27:09   mouse movement trajectory: ( 150, 378 )
2017-09-07 13:27:09   mouse movement trajectory: ( 150, 378 )
2017-09-07 13:27:09   mouse movement trajectory: ( 122, 428 )
2017-09-07 13:27:10   mouse movement trajectory: ( 490, 344 )
2017-09-07 13:27:10   mouse movement trajectory: ( 490, 344 )
2017-09-07 13:27:10   mouse movement trajectory: ( 148, 382 )
2017-09-07 13:27:10   mouse movement trajectory: ( 148, 382 )
2017-09-07 13:27:10   mouse movement trajectory: ( 148, 382 )
2017-09-07 13:27:10   mouse movement trajectory: ( 506, 360 )
2017-09-07 13:27:10   mouse movement trajectory: ( 514, 368 )
2017-09-07 13:27:10   mouse movement trajectory: ( 138, 386 )
2017-09-07 13:27:10   mouse movement trajectory: ( 146, 382 )
2017-09-07 13:27:10   mouse movement trajectory: ( 146, 382 )
2017-09-07 13:27:10   mouse movement trajectory: ( 516, 372 )
2017-09-07 13:27:10   mouse movement trajectory: ( 146, 382 )
2017-09-07 13:27:10   mouse movement trajectory: ( 520, 374 )
2017-09-07 13:27:10   mouse movement trajectory: ( 142, 384 )
2017-09-07 13:27:11   mouse movement trajectory: ( 142, 384 )
2017-09-07 13:27:11   mouse movement trajectory: ( 142, 384 )
2017-09-07 13:27:11   mouse movement trajectory: ( 140, 384 )
2017-09-07 13:27:11   mouse movement trajectory: ( 140, 384 )
2017-09-07 13:27:11   mouse movement trajectory: ( 140, 384 )
2017-09-07 13:27:11   mouse movement trajectory: ( 522, 376 )
2017-09-07 13:27:11   mouse movement trajectory: ( 138, 382 )
2017-09-07 13:27:11   mouse movement trajectory: ( 138, 382 )
2017-09-07 13:27:11   mouse movement trajectory: ( 138, 382 )
2017-09-07 13:27:11   mouse movement trajectory: ( 136, 380 )
2017-09-07 13:27:11   mouse movement trajectory: ( 136, 380 )
2017-09-07 13:27:11   mouse movement trajectory: ( 136, 380 )
2017-09-07 13:27:11   mouse movement trajectory: ( 152, 362 )
2017-09-07 13:27:11   mouse movement trajectory: ( 134, 372 )
2017-09-07 13:27:11   mouse movement trajectory: ( 134, 372 )
2017-09-07 13:27:11   mouse movement trajectory: ( 130, 366 )
2017-09-07 13:27:11   mouse movement trajectory: ( 130, 366 )
2017-09-07 13:27:11   mouse movement trajectory: ( 126, 334 )
2017-09-07 13:27:12   mouse movement trajectory: ( 126, 348 )
2017-09-07 13:27:12   mouse movement trajectory: ( 126, 348 )
2017-09-07 13:27:12   mouse movement trajectory: ( 126, 348 )
2017-09-07 13:27:12   mouse movement trajectory: ( 126, 348 )
2017-09-07 13:27:12   mouse movement trajectory: ( 160, 352 )
2017-09-07 13:27:12   mouse movement trajectory: ( 126, 334 )
2017-09-07 13:27:12   mouse movement trajectory: ( 126, 334 )
2017-09-07 13:27:12   mouse movement trajectory: ( 126, 334 )
2017-09-07 13:27:12   mouse movement trajectory: ( 126, 334 )
2017-09-07 13:27:12   mouse movement trajectory: ( 126, 334 )
2017-09-07 13:27:12   mouse movement trajectory: ( 126, 334 )
2017-09-07 13:27:12   mouse movement trajectory: ( 126, 334 )
2017-09-07 13:27:12   mouse movement trajectory: ( 126, 330 )
2017-09-07 13:27:12   mouse movement trajectory: ( 126, 330 )
2017-09-07 13:27:12   mouse movement trajectory: ( 126, 330 )
2017-09-07 13:27:12   mouse movement trajectory: ( 126, 330 )
2017-09-07 13:27:12   mouse movement trajectory: ( 126, 328 )
2017-09-07 13:27:13   mouse movement trajectory: ( 126, 328 )
2017-09-07 13:27:13   mouse movement trajectory: ( 126, 328 )
2017-09-07 13:27:13   mouse movement trajectory: ( 126, 328 )
2017-09-07 13:27:13   mouse movement trajectory: ( 126, 326 )
2017-09-07 13:27:13   mouse movement trajectory: ( 126, 326 )
2017-09-07 13:27:13   mouse movement trajectory: ( 126, 326 )
2017-09-07 13:27:13   mouse movement trajectory: ( 126, 326 )
2017-09-07 13:27:13   mouse movement trajectory: ( 126, 326 )
2017-09-07 13:27:13   mouse movement trajectory: ( 126, 326 )
2017-09-07 13:27:13   mouse movement trajectory: ( 126, 326 )
2017-09-07 13:27:13   mouse movement trajectory: ( 126, 326 )
2017-09-07 13:27:13   mouse movement trajectory: ( 126, 326 )
2017-09-07 13:27:13   mouse movement trajectory: ( 126, 326 )
2017-09-07 13:27:13   mouse movement trajectory: ( 126, 326 )
2017-09-07 13:27:13   mouse movement trajectory: ( 126, 326 )
2017-09-07 13:27:13   mouse movement trajectory: ( 168, 348 )
2017-09-07 13:27:13   mouse movement trajectory: ( 126, 324 )
2017-09-07 13:27:13   mouse movement trajectory: ( 126, 324 )
2017-09-07 13:27:14   mouse movement trajectory: ( 126, 324 )
2017-09-07 13:27:14   mouse movement trajectory: ( 126, 324 )
2017-09-07 13:27:14   mouse movement trajectory: ( 174, 348 )
2017-09-07 13:27:14   mouse movement trajectory: ( 130, 326 )
2017-09-07 13:27:14   mouse movement trajectory: ( 126, 324 )
2017-09-07 13:27:14   mouse movement trajectory: ( 126, 324 )
2017-09-07 13:27:14   mouse movement trajectory: ( 126, 324 )
2017-09-07 13:27:14   mouse movement trajectory: ( 126, 324 )
2017-09-07 13:27:14   mouse movement trajectory: ( 126, 324 )
2017-09-07 13:27:14   mouse movement trajectory: ( 126, 324 )
2017-09-07 13:27:14   mouse movement trajectory: ( 126, 324 )
2017-09-07 13:27:14   mouse movement trajectory: ( 126, 324 )
2017-09-07 13:27:14   mouse movement trajectory: ( 128, 324 )
2017-09-07 13:27:14   mouse movement trajectory: ( 130, 328 )
2017-09-07 13:27:14   mouse movement trajectory: ( 128, 324 )
2017-09-07 13:27:14   mouse movement trajectory: ( 128, 324 )
2017-09-07 13:27:14   mouse movement trajectory: ( 128, 324 )
2017-09-07 13:27:14   mouse movement trajectory: ( 128, 324 )
2017-09-07 13:27:15   mouse movement trajectory: ( 128, 324 )
2017-09-07 13:27:15   mouse movement trajectory: ( 544, 338 )
2017-09-07 13:27:15   mouse movement trajectory: ( 128, 324 )
2017-09-07 13:27:15   mouse movement trajectory: ( 128, 324 )
2017-09-07 13:27:15   mouse movement trajectory: ( 128, 324 )
2017-09-07 13:27:15   mouse movement trajectory: ( 128, 324 )
2017-09-07 13:27:15   mouse movement trajectory: ( 128, 324 )
2017-09-07 13:27:15   mouse movement trajectory: ( 128, 324 )
2017-09-07 13:27:15   mouse movement trajectory: ( 128, 326 )
2017-09-07 13:27:15   mouse movement trajectory: ( 600, 258 )
2017-09-07 13:27:15   mouse movement trajectory: ( 128, 326 )
2017-09-07 13:27:15   mouse movement trajectory: ( 128, 326 )
2017-09-07 13:27:15   mouse movement trajectory: ( 128, 326 )
2017-09-07 13:27:15   mouse movement trajectory: ( 130, 326 )
2017-09-07 13:27:15   mouse movement trajectory: ( 130, 326 )
2017-09-07 13:27:15   mouse movement trajectory: ( 130, 326 )
2017-09-07 13:27:15   mouse movement trajectory: ( 666, 176 )
2017-09-07 13:27:15   mouse movement trajectory: ( 130, 326 )
2017-09-07 13:27:16   mouse movement trajectory: ( 130, 326 )
2017-09-07 13:27:16   mouse movement trajectory: ( 130, 326 )
2017-09-07 13:27:16   mouse movement trajectory: ( 130, 326 )
2017-09-07 13:27:16   mouse movement trajectory: ( 130, 326 )
2017-09-07 13:27:16   mouse movement trajectory: ( 130, 326 )
2017-09-07 13:27:16   mouse movement trajectory: ( 130, 326 )
2017-09-07 13:27:16   mouse movement trajectory: ( 130, 326 )
2017-09-07 13:27:16   mouse movement trajectory: ( 130, 326 )
2017-09-07 13:27:16   mouse movement trajectory: ( 130, 328 )
2017-09-07 13:27:16   mouse movement trajectory: ( 130, 328 )
2017-09-07 13:27:16   mouse movement trajectory: ( 130, 328 )
2017-09-07 13:27:16   mouse movement trajectory: ( 130, 328 )
2017-09-07 13:27:16   mouse movement trajectory: ( 724, 110 )
2017-09-07 13:27:16   mouse movement trajectory: ( 790, 42 )
2017-09-07 13:27:16   mouse movement trajectory: ( 130, 330 )
2017-09-07 13:27:16   mouse movement trajectory: ( 130, 330 )
2017-09-07 13:27:17   mouse movement trajectory: ( 130, 330 )
2017-09-07 13:27:17   mouse movement trajectory: ( 130, 330 )
2017-09-07 13:27:17   mouse movement trajectory: ( 130, 330 )
2017-09-07 13:27:17   mouse movement trajectory: ( 132, 334 )
2017-09-07 13:27:17   mouse movement trajectory: ( 132, 334 )
2017-09-07 13:27:17   mouse movement trajectory: ( 832, 6 )
2017-09-07 13:27:17   mouse movement trajectory: ( 132, 334 )
2017-09-07 13:27:17   mouse movement trajectory: ( 132, 334 )
2017-09-07 13:27:17   mouse movement trajectory: ( 132, 334 )
2017-09-07 13:27:17   mouse movement trajectory: ( 132, 336 )
2017-09-07 13:27:17   mouse movement trajectory: ( 132, 336 )
2017-09-07 13:27:17   mouse movement trajectory: ( 132, 336 )
2017-09-07 13:27:17   mouse movement trajectory: ( 132, 336 )
2017-09-07 13:27:17   mouse movement trajectory: ( 132, 336 )
2017-09-07 13:27:17   mouse movement trajectory: ( 176, 348 )
2017-09-07 13:27:17   mouse movement trajectory: ( 132, 338 )
2017-09-07 13:27:17   mouse movement trajectory: ( 132, 338 )
2017-09-07 13:27:17   mouse movement trajectory: ( 132, 338 )
2017-09-07 13:27:18   mouse movement trajectory: ( 132, 338 )
2017-09-07 13:27:18   mouse movement trajectory: ( 132, 338 )
2017-09-07 13:27:18   mouse movement trajectory: ( 132, 340 )
2017-09-07 13:27:18   mouse movement trajectory: ( 132, 340 )
2017-09-07 13:27:18   mouse movement trajectory: ( 132, 340 )
2017-09-07 13:27:18   mouse movement trajectory: ( 132, 340 )
2017-09-07 13:27:18   mouse movement trajectory: ( 132, 340 )
2017-09-07 13:27:18   mouse movement trajectory: ( 134, 342 )
2017-09-07 13:27:18   mouse movement trajectory: ( 134, 342 )
2017-09-07 13:27:18   mouse movement trajectory: ( 134, 342 )
2017-09-07 13:27:18   mouse movement trajectory: ( 134, 342 )
2017-09-07 13:27:18   mouse movement trajectory: ( 134, 342 )
2017-09-07 13:27:18   mouse movement trajectory: ( 178, 352 )
2017-09-07 13:27:18   mouse movement trajectory: ( 178, 354 )
2017-09-07 13:27:18   mouse movement trajectory: ( 178, 358 )
2017-09-07 13:27:18   mouse movement trajectory: ( 178, 362 )
2017-09-07 13:27:18   mouse movement trajectory: ( 132, 340 )
2017-09-07 13:27:19   mouse movement trajectory: ( 132, 340 )
2017-09-07 13:27:19   mouse movement trajectory: ( 132, 340 )
